gene,stage_plot,average_expression,percent_expressing,term_group,go_id,also_in_other_term
Defa23,TAC-TEC,0,0,Estrogen_receptor_signaling,GO:0030520,FALSE
Defa23,Aire-positive,0.00610504474689708,0.607533414337789,Estrogen_receptor_signaling,GO:0030520,FALSE
Defa23,Late-Aire,0,0,Estrogen_receptor_signaling,GO:0030520,FALSE
Defa23,Tuft,0,0,Estrogen_receptor_signaling,GO:0030520,FALSE
Defa3,cTEC,0,0,Estrogen_receptor_signaling,GO:0030520,FALSE
Defa3,Ccl21a-high,0,0,Estrogen_receptor_signaling,GO:0030520,FALSE
Defa3,TAC-TEC,0.00121572512515995,0.239234449760766,Estrogen_receptor_signaling,GO:0030520,FALSE
Defa3,Aire-positive,0.0105672960558004,0.729040097205346,Estrogen_receptor_signaling,GO:0030520,FALSE
Defa3,Late-Aire,0.00120892320167479,0.186219739292365,Estrogen_receptor_signaling,GO:0030520,FALSE
Defa3,Tuft,0,0,Estrogen_receptor_signaling,GO:0030520,FALSE
Egln2,cTEC,0.44269805583402,43.2773109243698,Estrogen_receptor_signaling,GO:0030520,FALSE
Egln2,Ccl21a-high,0.285255245732277,40,Estrogen_receptor_signaling,GO:0030520,FALSE
Egln2,TAC-TEC,0.22562941481942,42.1052631578947,Estrogen_receptor_signaling,GO:0030520,FALSE
Egln2,Aire-positive,0.175672587116338,30.7411907654921,Estrogen_receptor_signaling,GO:0030520,FALSE
Egln2,Late-Aire,0.222223035630803,31.098696461825,Estrogen_receptor_signaling,GO:0030520,FALSE
Egln2,Tuft,0.773291111618148,74.6666666666667,Estrogen_receptor_signaling,GO:0030520,FALSE
Ep300,cTEC,0.111080396837585,13.4453781512605,Androgen_receptor_signaling,GO:0030521,FALSE
Ep300,Ccl21a-high,0.0824662739181826,13.6842105263158,Androgen_receptor_signaling,GO:0030521,FALSE
Ep300,TAC-TEC,0.0887175893256922,19.8564593301435,Androgen_receptor_signaling,GO:0030521,FALSE
Ep300,Aire-positive,0.119325321157941,19.8055893074119,Androgen_receptor_signaling,GO:0030521,FALSE
Ep300,Late-Aire,0.193265225411139,26.8156424581006,Androgen_receptor_signaling,GO:0030521,FALSE
Ep300,Tuft,0.302614122682728,37.3333333333333,Androgen_receptor_signaling,GO:0030521,FALSE
Esr1,cTEC,0.0343858416487324,4.20168067226891,Estrogen_receptor_signaling,GO:0030520,FALSE
Esr1,Ccl21a-high,0.058470892602551,7.36842105263158,Estrogen_receptor_signaling,GO:0030520,FALSE
Esr1,TAC-TEC,0.0210751560096587,4.78468899521531,Estrogen_receptor_signaling,GO:0030520,FALSE
Esr1,Aire-positive,0.0277266420677502,4.86026731470231,Estrogen_receptor_signaling,GO:0030520,FALSE
Esr1,Late-Aire,0.0124800589944572,2.04841713221601,Estrogen_receptor_signaling,GO:0030520,FALSE
Esr1,Tuft,0.00664561377917412,1.33333333333333,Estrogen_receptor_signaling,GO:0030520,FALSE
Esr2,cTEC,0,0,Estrogen_receptor_signaling,GO:0030520,FALSE
Esr2,Ccl21a-high,0,0,Estrogen_receptor_signaling,GO:0030520,FALSE
Esr2,TAC-TEC,0,0,Estrogen_receptor_signaling,GO:0030520,FALSE
Esr2,Aire-positive,0.00960541999008933,1.33657351154313,Estrogen_receptor_signaling,GO:0030520,FALSE
Esr2,Late-Aire,0.000383812889145501,0.186219739292365,Estrogen_receptor_signaling,GO:0030520,FALSE
Esr2,Tuft,0,0,Estrogen_receptor_signaling,GO:0030520,FALSE
Fkbp4,cTEC,1.04499445783094,76.890756302521,Androgen_receptor_signaling,GO:0030521,FALSE
Fkbp4,Ccl21a-high,1.10774771127106,84.9122807017544,Androgen_receptor_signaling,GO:0030521,FALSE
Fkbp4,TAC-TEC,1.16056914285848,89.2344497607656,Androgen_receptor_signaling,GO:0030521,FALSE
Fkbp4,Aire-positive,0.359870525697218,47.6306196840826,Androgen_receptor_signaling,GO:0030521,FALSE
Fkbp4,Late-Aire,0.379025469897542,42.4581005586592,Androgen_receptor_signaling,GO:0030521,FALSE
Fkbp4,Tuft,0.694647759113296,66.6666666666667,Androgen_receptor_signaling,GO:0030521,FALSE
Foxa1,cTEC,0.0123298751206201,1.26050420168067,Estrogen_receptor_signaling,GO:0030520,FALSE
Foxa1,Ccl21a-high,0.0198266035200231,2.45614035087719,Estrogen_receptor_signaling,GO:0030520,FALSE
Foxa1,TAC-TEC,0.0454475489890339,9.56937799043062,Estrogen_receptor_signaling,GO:0030520,FALSE
Foxa1,Aire-positive,0.105997655233404,15.4313487241798,Estrogen_receptor_signaling,GO:0030520,FALSE
Foxa1,Late-Aire,0.175802136646685,20.2979515828678,Estrogen_receptor_signaling,GO:0030520,FALSE
Foxa1,Tuft,0.169294160165978,18.6666666666667,Estrogen_receptor_signaling,GO:0030520,FALSE
Foxp1,cTEC,0.401571589945915,42.0168067226891,Androgen_receptor_signaling,GO:0030521,FALSE
Foxp1,Ccl21a-high,0.385984428370845,46.6666666666667,Androgen_receptor_signaling,GO:0030521,FALSE
Foxp1,TAC-TEC,0.242699346062044,41.1483253588517,Androgen_receptor_signaling,GO:0030521,FALSE
Foxp1,Aire-positive,0.106421102819685,17.6184690157959,Androgen_receptor_signaling,GO:0030521,FALSE
Foxp1,Late-Aire,0.147639971466541,21.0428305400372,Androgen_receptor_signaling,GO:0030521,FALSE
Foxp1,Tuft,0.468118782300239,54.6666666666667,Androgen_receptor_signaling,GO:0030521,FALSE
Hdac1,cTEC,0.485710298686088,49.1596638655462,Estrogen_receptor_signaling,GO:0030520,TRUE
Hdac1,cTEC,0.485710298686088,49.1596638655462,Androgen_receptor_signaling,GO:0030521,TRUE
Hdac1,Ccl21a-high,0.43972395252046,53.6842105263158,Estrogen_receptor_signaling,GO:0030520,TRUE
Hdac1,Ccl21a-high,0.43972395252046,53.6842105263158,Androgen_receptor_signaling,GO:0030521,TRUE
Hdac1,TAC-TEC,0.527087406684194,70.0956937799043,Estrogen_receptor_signaling,GO:0030520,TRUE
Hdac1,TAC-TEC,0.527087406684194,70.0956937799043,Androgen_receptor_signaling,GO:0030521,TRUE
Hdac1,Aire-positive,0.366970627726637,49.6962332928311,Estrogen_receptor_signaling,GO:0030520,TRUE
Hdac1,Aire-positive,0.366970627726637,49.6962332928311,Androgen_receptor_signaling,GO:0030521,TRUE
Hdac1,Late-Aire,0.33002592232274,42.2718808193668,Estrogen_receptor_signaling,GO:0030520,TRUE
Hdac1,Late-Aire,0.33002592232274,42.2718808193668,Androgen_receptor_signaling,GO:0030521,TRUE
Hdac1,Tuft,0.440051751594024,50.6666666666667,Estrogen_receptor_signaling,GO:0030520,TRUE
Hdac1,Tuft,0.440051751594024,50.6666666666667,Androgen_receptor_signaling,GO:0030521,TRUE
Hdac2,cTEC,0.506552377752959,50.4201680672269,Estrogen_receptor_signaling,GO:0030520,FALSE
Hdac2,Ccl21a-high,0.651122024398341,68.4210526315789,Estrogen_receptor_signaling,GO:0030520,FALSE
Hdac2,TAC-TEC,0.982397665987618,87.0813397129187,Estrogen_receptor_signaling,GO:0030520,FALSE
Hdac2,Aire-positive,0.612016400275227,66.9501822600243,Estrogen_receptor_signaling,GO:0030520,FALSE
Hdac2,Late-Aire,0.489254770610343,54.3761638733706,Estrogen_receptor_signaling,GO:0030520,FALSE
Hdac2,Tuft,0.372804445460493,45.3333333333333,Estrogen_receptor_signaling,GO:0030520,FALSE
Hdac6,cTEC,0.0431443409225002,5.04201680672269,Estrogen_receptor_signaling,GO:0030520,TRUE
Hdac6,cTEC,0.0431443409225002,5.04201680672269,Androgen_receptor_signaling,GO:0030521,TRUE
Hdac6,Ccl21a-high,0.0219192106144465,4.56140350877193,Estrogen_receptor_signaling,GO:0030520,TRUE
Hdac6,Ccl21a-high,0.0219192106144465,4.56140350877193,Androgen_receptor_signaling,GO:0030521,TRUE
Hdac6,TAC-TEC,0.0339390567840277,9.80861244019139,Estrogen_receptor_signaling,GO:0030520,TRUE
